year	temperature
0	13.9
1	13.84
2	13.7
3	13.61
4	13.5
5	13.71
6	13.77
7	13.6
8	13.56
9	13.52
10	13.56
11	13.57
12	13.64
13	13.65
14	13.84
15	13.88
16	13.67
17	13.56
18	13.72
19	13.73
20	13.74
21	13.82
22	13.73
23	13.75
24	13.74
25	13.79
26	13.91
27	13.8
28	13.81
29	13.65
30	13.85
31	13.9
32	13.83
33	13.7
34	13.86
35	13.79
36	13.84
37	13.96
38	13.97
39	13.97
40	14.11
41	14.18
42	14.05
43	14.07
44	14.2
45	14.08
46	13.93
47	13.96
48	13.89
49	13.89
50	13.82
51	13.93
52	14.01
53	14.07
54	13.85
55	13.85
56	13.79
57	14.05
58	14.08
59	14.03
60	13.98
61	14.06
62	14.05
63	14.07
64	13.8
65	13.89
66	13.95
67	13.98
68	13.93
69	14.07
70	14.03
71	13.91
72	14.01
73	14.15
74	13.92
75	13.99
76	13.9
77	14.17
78	14.07
79	14.16
80	14.27
81	14.33
82	14.13
83	14.31
84	14.16
85	14.11
86	14.18
87	14.33
88	14.4
89	14.29
90	14.44
91	14.41
92	14.21
93	14.23
94	14.31
95	14.44
96	14.33
97	14.47
98	14.62
99	14.39
100	14.4
101	14.53
102	14.62
103	14.61
104	14.54
105	14.66
106	14.61
107	14.63
108	14.51
109	14.63
110	14.69
111	14.57
112	14.61
113	14.64
114	14.73
115	14.86
116	14.98
117	14.89
118	14.82
119	14.96
