iter	 posterior	 likelihood	 prior	 mu_pandas	 sigma_pandas 	 mu_bears 	 sigma_bears 	 alpha 	 beta 	 mu_diff
0	1	-139.25458579330405	-33.903384991329524	80	5	70	5	2	0.01	10
1	1	-139.25458579330405	-33.903384991329524	80	5	70	5	2	0.01	10
2	31.469948702165397	-118.29329263547973	-23.394729446988425	80.65718292047391	5.559285349817561	70.00136187188693	5.430855448671593	1.8006530435459622	0.2831907703649357	10.655821048586986
3	15.490843640189937	-102.63271571277348	-23.56446272950475	80.50886229275834	6.325734760107003	70.31345698204426	5.830241630278422	2.1092960266363088	0.4396172930462442	10.19540531071408
4	15.490843640189937	-102.63271571277348	-23.56446272950475	80.50886229275834	6.325734760107003	70.31345698204426	5.830241630278422	2.1092960266363088	0.4396172930462442	10.19540531071408
5	7.273326894635687	-91.33695230362784	-27.586899244014703	80.2306865137737	7.299759035014493	69.65037186348609	6.2141346718749535	2.0762055749045762	0.05152904843462325	10.580314650287619
6	7.273326894635687	-91.33695230362784	-27.586899244014703	80.2306865137737	7.299759035014493	69.65037186348609	6.2141346718749535	2.0762055749045762	0.05152904843462325	10.580314650287619
7	7.273326894635687	-91.33695230362784	-27.586899244014703	80.2306865137737	7.299759035014493	69.65037186348609	6.2141346718749535	2.0762055749045762	0.05152904843462325	10.580314650287619
8	8.890338144519191	-85.23505659021924	-24.79845681290411	78.27557805617195	8.1679704174732	70.55375147395934	6.901472637857932	1.841567051672937	0.44376899732683317	7.721826582212614
9	3.21167304098536	-81.76954437015212	-25.05229599198587	79.79147498379169	8.244637817818745	69.87294020331869	7.026773664231	1.5492965864856	0.39664017544598684	9.918534780472996
10	2.614121289488864	-76.4095012341885	-27.79821783846063	79.18240328756691	9.023146463853752	70.69149294275066	7.566341058854648	1.9322779646832804	0.7120474376157366	8.490910344816257
11	2.614121289488864	-76.4095012341885	-27.79821783846063	79.18240328756691	9.023146463853752	70.69149294275066	7.566341058854648	1.9322779646832804	0.7120474376157366	8.490910344816257
12	1.5348141038730603	-75.35731819737885	-27.31558677139722	81.16252081766508	8.95821014041036	71.00278944106729	6.688659916833802	2.3472895764959345	0.8184327439748117	10.15973137659779
13	0.639472684506643	-71.89928601220056	-30.134146272068865	79.59480162870891	9.818864059944103	72.6529713221059	7.077138700153601	2.034568579012017	0.9130143264834228	6.941830306603009
14	0.639472684506643	-71.89928601220056	-30.134146272068865	79.59480162870891	9.818864059944103	72.6529713221059	7.077138700153601	2.034568579012017	0.9130143264834228	6.941830306603009
15	-0.4657304567709275	-70.65514305979306	-31.844019681247296	81.46195492133339	9.236009154425528	72.53744556475601	7.427936653155907	1.8125672482493085	1.0052440974439454	8.924509356577374
16	-0.4657304567709275	-70.65514305979306	-31.844019681247296	81.46195492133339	9.236009154425528	72.53744556475601	7.427936653155907	1.8125672482493085	1.0052440974439454	8.924509356577374
17	3.9318235581276895	-68.31580090222766	-30.251538280685	80.34102999441514	10.042537196430825	73.36577341537837	7.827287725280332	1.4508233494694733	0.7217822087156415	6.975256579036767
18	3.9318235581276895	-68.31580090222766	-30.251538280685	80.34102999441514	10.042537196430825	73.36577341537837	7.827287725280332	1.4508233494694733	0.7217822087156415	6.975256579036767
19	3.9318235581276895	-68.31580090222766	-30.251538280685	80.34102999441514	10.042537196430825	73.36577341537837	7.827287725280332	1.4508233494694733	0.7217822087156415	6.975256579036767
20	3.9318235581276895	-68.31580090222766	-30.251538280685	80.34102999441514	10.042537196430825	73.36577341537837	7.827287725280332	1.4508233494694733	0.7217822087156415	6.975256579036767
21	3.9318235581276895	-68.31580090222766	-30.251538280685	80.34102999441514	10.042537196430825	73.36577341537837	7.827287725280332	1.4508233494694733	0.7217822087156415	6.975256579036767
22	1.142914180445601	-64.88796827666692	-32.536456725800136	80.66616657657794	10.497900705679472	75.28306337096843	8.780468420120464	1.0253882903537608	0.69270564891061	5.383103205609501
23	4.243574958585924	-60.90187259547559	-32.27897744840555	82.41864285518494	11.473227524841624	73.55605206406561	9.777252370668329	1.1086101145119147	0.6250544240223929	8.862590791119331
24	4.243574958585924	-60.90187259547559	-32.27897744840555	82.41864285518494	11.473227524841624	73.55605206406561	9.777252370668329	1.1086101145119147	0.6250544240223929	8.862590791119331
25	1.7513528945092531	-64.21961408327749	-27.209883066094392	80.89955462245824	10.662856677309463	73.01697949484647	9.893988763253134	1.2183405812049388	0.357090736985642	7.882575127611773
26	3.553365656356675	-62.61912969494986	-25.25700179806535	80.95550490408665	11.315644575620375	73.30629277942934	9.923884142203793	1.29697571740506	0.07319954701165798	7.649212124657311
